request_number,username,created_at,body
R-20251003-4554,specialist1,2025-10-17 04:43:06,Настройка параметров работы.
R-20251003-4554,specialist2,2025-10-07 07:43:06,Калибровка датчиков выполнена.
R-20251003-4554,operator1,2025-10-18 07:43:06,Проверка герметичности системы.
R-20251003-4554,specialist10,2025-10-12 02:43:06,Тестирование всех режимов работы.
R-20250920-2510,specialist1,2025-10-20 15:29:06,Проверка герметичности системы.
R-20250920-2510,operator2,2025-10-20 15:29:06,Калибровка датчиков выполнена.
R-20250920-2510,specialist,2025-09-24 22:29:06,"Ремонт завершен, требуется проверка клиентом."
R-20250920-2510,specialist,2025-09-21 20:29:06,Заправка фреоном выполнена. Проверка работы.
R-20250914-7209,specialist4,2025-09-27 22:11:06,Тестирование всех режимов работы.
R-20250914-7209,specialist2,2025-10-09 17:11:06,Проверка герметичности системы.
R-20250914-7209,specialist4,2025-09-28 18:11:06,Заменен датчик температуры.
R-20250914-7209,specialist4,2025-09-25 17:11:06,Калибровка датчиков выполнена.
R-20251001-7165,specialist5,2025-10-10 04:50:06,Очистка фильтров выполнена.
R-20251001-7165,operator,2025-10-08 03:50:06,Заменен компрессор.
R-20251001-7165,specialist7,2025-10-22 00:50:06,Настройка параметров работы.
R-20251001-7165,specialist10,2025-10-23 20:50:06,Ожидаем поставку запчастей.
R-20250809-0342,specialist6,2025-08-20 20:51:06,Заправка фреоном выполнена. Проверка работы.
R-20250809-0342,specialist9,2025-09-08 20:51:06,Ожидаем поставку запчастей.
R-20251104-8924,operator2,2025-11-24 01:04:06,Установлена новая плата управления.
R-20251104-8924,specialist9,2025-11-19 04:04:06,Настройка параметров работы.
R-20251104-8924,specialist9,2025-11-18 05:04:06,Тестирование всех режимов работы.
R-20251104-8924,operator3,2025-11-24 01:04:06,Калибровка датчиков выполнена.
R-20251219-2112,specialist8,2025-12-25 13:11:06,Ожидаем поставку запчастей.
R-20251219-2112,operator3,2026-01-01 16:11:06,Ожидаем поставку запчастей.
R-20251219-2112,specialist4,2025-12-20 16:11:06,Проверка герметичности системы.
R-20251219-2112,specialist6,2025-12-27 16:11:06,"Ремонт завершен, требуется проверка клиентом."
R-20251219-2112,specialist4,2026-01-05 14:11:06,Тестирование всех режимов работы.
R-20251212-5978,operator1,2025-12-31 20:13:06,Настройка параметров работы.
R-20250730-9471,operator,2025-08-14 00:38:06,"Ремонт завершен, требуется проверка клиентом."
R-20250730-9471,specialist4,2025-08-24 02:38:06,Заправка фреоном выполнена. Проверка работы.
R-20251217-6385,specialist5,2026-01-14 05:14:06,Калибровка датчиков выполнена.
R-20251026-7963,specialist1,2025-11-13 14:18:06,Тестирование всех режимов работы.
R-20251026-7963,specialist1,2025-11-01 11:18:06,Тестирование всех режимов работы.
R-20251026-7963,operator,2025-10-31 09:18:06,Выполнена профилактическая чистка.
R-20251026-7963,specialist1,2025-11-21 08:18:06,Выполнена профилактическая чистка.
R-20251026-7963,specialist7,2025-11-23 08:18:06,Проверка электрики - все в норме.
R-20250923-6044,specialist1,2025-09-25 00:22:06,Тестирование всех режимов работы.
R-20250710-5986,specialist,2025-07-13 03:08:06,Провел диагностику. Требуется замена детали.
R-20250710-5986,specialist3,2025-07-24 00:08:06,Ожидаем поставку запчастей.
R-20250710-5986,specialist3,2025-08-08 22:08:06,Заменен датчик температуры.
R-20250822-7102,specialist1,2025-09-05 23:17:06,Установлена новая плата управления.
R-20250822-7102,specialist,2025-09-11 16:17:06,Калибровка датчиков выполнена.
R-20250822-7102,specialist10,2025-09-16 18:17:06,Выполнена профилактическая чистка.
R-20250822-7102,specialist6,2025-09-09 15:17:06,Провел диагностику. Требуется замена детали.
R-20251119-6217,operator4,2025-12-15 07:15:06,Заменен датчик температуры.
R-20251127-1173,specialist4,2025-12-14 15:54:06,"Ремонт завершен, требуется проверка клиентом."
R-20251127-1173,operator3,2025-12-09 17:54:06,Заменен компрессор.
R-20251127-1173,operator5,2025-12-04 15:54:06,Калибровка датчиков выполнена.
R-20251127-1173,specialist7,2025-12-26 17:54:06,Выполнена профилактическая чистка.
R-20251127-1173,operator2,2025-12-24 14:54:06,Выполнена профилактическая чистка.
R-20251001-4790,specialist10,2025-10-27 08:56:06,Настройка параметров работы.
R-20251001-4790,specialist7,2025-10-18 13:56:06,Калибровка датчиков выполнена.
R-20251001-4790,operator,2025-10-31 16:56:06,Требуется заказ комплектующих.
R-20251001-4790,specialist5,2025-10-08 15:56:06,Заправка фреоном выполнена. Проверка работы.
R-20250906-5406,specialist7,2025-09-19 06:34:06,Провел диагностику. Требуется замена детали.
R-20251018-3621,operator4,2025-10-24 11:16:06,Тестирование всех режимов работы.
R-20251018-3621,specialist6,2025-10-19 12:16:06,Проверка герметичности системы.
R-20251018-3621,specialist1,2025-11-07 04:16:06,"Ремонт завершен, требуется проверка клиентом."
R-20251018-3621,specialist7,2025-10-29 05:16:06,Очистка фильтров выполнена.
R-20251018-3621,specialist10,2025-11-06 12:16:06,Ожидаем поставку запчастей.
R-20251214-2329,operator5,2026-01-09 08:51:06,Провел диагностику. Требуется замена детали.
R-20251103-2066,specialist5,2025-11-11 23:31:06,Требуется заказ комплектующих.
R-20251103-2066,specialist4,2025-11-26 01:31:06,Провел диагностику. Требуется замена детали.
R-20251103-2066,operator2,2025-11-07 05:31:06,Ожидаем поставку запчастей.
R-20251103-2066,specialist1,2025-12-03 00:31:06,"Ремонт завершен, требуется проверка клиентом."
R-20250914-7945,specialist10,2025-09-26 08:56:06,Проверка герметичности системы.
R-20250914-7945,specialist10,2025-10-09 14:56:06,Проверка электрики - все в норме.
R-20250914-7945,specialist8,2025-09-17 11:56:06,Требуется заказ комплектующих.
R-20251015-1469,specialist3,2025-11-07 21:35:06,Очистка фильтров выполнена.
R-20251015-1469,operator3,2025-11-01 04:35:06,Заправка фреоном выполнена. Проверка работы.
R-20251114-6875,operator4,2025-12-08 17:11:06,"Ремонт завершен, требуется проверка клиентом."
R-20251114-6875,specialist5,2025-11-20 14:11:06,Настройка параметров работы.
R-20251018-1278,specialist9,2025-10-29 03:13:06,"Ремонт завершен, требуется проверка клиентом."
R-20251018-1278,specialist7,2025-11-16 03:13:06,Заменен компрессор.
R-20251018-1278,specialist5,2025-10-28 09:13:06,Проверка электрики - все в норме.
R-20251018-1278,operator1,2025-11-16 03:13:06,Проверка герметичности системы.
R-20251018-1278,operator3,2025-10-18 11:13:06,Ожидаем поставку запчастей.
R-20250929-0492,specialist4,2025-10-25 08:11:06,Проверка электрики - все в норме.
R-20250929-0492,specialist6,2025-10-08 07:11:06,Заменен датчик температуры.
R-20250929-0492,operator5,2025-10-23 11:11:06,Требуется заказ комплектующих.
R-20251129-1809,specialist2,2025-12-20 20:56:06,Провел диагностику. Требуется замена детали.
R-20251129-1809,specialist8,2025-12-16 19:56:06,Установлена новая плата управления.
R-20250828-5299,specialist10,2025-09-11 00:52:06,Калибровка датчиков выполнена.
R-20251022-6035,specialist2,2025-11-05 06:44:06,Установлена новая плата управления.
R-20251022-6035,operator5,2025-11-07 08:44:06,Выполнена профилактическая чистка.
R-20251022-6035,specialist,2025-10-30 09:44:06,Тестирование всех режимов работы.
R-20251022-6035,specialist9,2025-11-19 01:44:06,Заменен датчик температуры.
R-20251022-6035,specialist10,2025-11-17 04:44:06,Заправка фреоном выполнена. Проверка работы.
R-20250926-1201,specialist1,2025-10-03 02:35:06,Заменен компрессор.
R-20251113-5972,specialist10,2025-11-23 01:42:06,Настройка параметров работы.
R-20251113-5972,operator1,2025-12-04 05:42:06,Установлена новая плата управления.
R-20251113-5972,specialist8,2025-12-02 04:42:06,Ожидаем поставку запчастей.
R-20251113-5972,specialist3,2025-12-04 05:42:06,Заменен компрессор.
R-20250716-9540,operator5,2025-08-01 15:12:06,Заменен датчик температуры.
R-20250716-9540,specialist9,2025-07-24 15:12:06,Настройка параметров работы.
R-20251028-3881,specialist1,2025-11-08 14:31:06,Требуется заказ комплектующих.
R-20251003-0936,operator5,2025-10-25 22:15:06,Провел диагностику. Требуется замена детали.
R-20251003-0936,specialist8,2025-10-25 14:15:06,Ожидаем поставку запчастей.
R-20251003-0936,operator,2025-10-25 22:15:06,Тестирование всех режимов работы.
R-20251003-0936,specialist3,2025-10-13 15:15:06,Тестирование всех режимов работы.
R-20251003-0936,specialist1,2025-10-30 20:15:06,"Ремонт завершен, требуется проверка клиентом."
R-20250806-6953,specialist2,2025-08-20 23:27:06,Заменен компрессор.
R-20251024-2976,operator4,2025-11-06 17:47:06,Выполнена профилактическая чистка.
R-20251024-2976,operator,2025-11-23 17:47:06,Провел диагностику. Требуется замена детали.
R-20251024-2976,specialist10,2025-11-21 21:47:06,Установлена новая плата управления.
R-20251123-0431,specialist1,2025-12-19 04:17:06,Настройка параметров работы.
R-20251123-0431,operator3,2025-12-22 09:17:06,Тестирование всех режимов работы.
R-20250922-0601,operator4,2025-10-06 11:27:06,Тестирование всех режимов работы.
R-20251113-2034,specialist6,2025-12-08 12:40:06,Тестирование всех режимов работы.
R-20251113-2034,specialist1,2025-12-11 10:40:06,Очистка фильтров выполнена.
R-20251113-2034,operator5,2025-12-06 17:40:06,Требуется заказ комплектующих.
R-20251113-2034,operator5,2025-11-26 18:40:06,Заменен компрессор.
R-20251122-1891,operator2,2025-12-08 10:31:06,Требуется заказ комплектующих.
R-20251122-1891,operator5,2025-11-22 07:31:06,Проверка электрики - все в норме.
R-20251122-1891,specialist1,2025-12-11 08:31:06,Очистка фильтров выполнена.
R-20251122-1891,specialist5,2025-12-20 11:31:06,Заправка фреоном выполнена. Проверка работы.
R-20251211-8742,specialist6,2026-01-07 21:17:06,Проверка электрики - все в норме.
R-20251211-8742,specialist7,2026-01-09 21:17:06,"Ремонт завершен, требуется проверка клиентом."
R-20251211-8742,specialist,2025-12-20 01:17:06,Выполнена профилактическая чистка.
R-20251211-8742,specialist8,2025-12-17 23:17:06,Заменен датчик температуры.
R-20251211-8742,specialist3,2025-12-13 02:17:06,Ожидаем поставку запчастей.
R-20250704-8964,specialist9,2025-07-29 02:39:06,Проверка герметичности системы.
R-20250704-8964,operator2,2025-07-19 00:39:06,Требуется заказ комплектующих.
R-20250704-8964,specialist4,2025-07-08 04:39:06,Очистка фильтров выполнена.
R-20250704-8964,specialist3,2025-08-02 21:39:06,"Ремонт завершен, требуется проверка клиентом."
R-20250825-8939,specialist7,2025-09-10 12:37:06,"Ремонт завершен, требуется проверка клиентом."
R-20250825-8939,operator5,2025-09-10 09:37:06,Очистка фильтров выполнена.
R-20250825-8939,operator3,2025-09-16 15:37:06,Установлена новая плата управления.
R-20250825-8939,specialist1,2025-08-28 15:37:06,Очистка фильтров выполнена.
R-20250825-8939,specialist2,2025-09-03 16:37:06,Заменен датчик температуры.
R-20251125-4413,specialist8,2025-12-06 17:11:06,Проверка герметичности системы.
R-20251125-4413,specialist10,2025-12-21 19:11:06,Выполнена профилактическая чистка.
R-20250802-0444,specialist7,2025-08-13 12:57:06,Ожидаем поставку запчастей.
R-20250802-0444,specialist,2025-08-27 07:57:06,"Ремонт завершен, требуется проверка клиентом."
R-20250802-0444,specialist10,2025-08-20 12:57:06,Калибровка датчиков выполнена.
R-20250802-0444,specialist4,2025-08-17 08:57:06,Выполнена профилактическая чистка.
R-20250802-0444,operator1,2025-08-24 12:57:06,Требуется заказ комплектующих.
R-20250627-8186,specialist10,2025-07-13 14:00:06,Установлена новая плата управления.
R-20250627-8186,specialist,2025-06-30 11:00:06,Ожидаем поставку запчастей.
R-20250627-8186,operator3,2025-07-04 14:00:06,Требуется заказ комплектующих.
R-20250627-8186,specialist8,2025-06-27 13:00:06,Выполнена профилактическая чистка.
R-20250627-8186,specialist5,2025-07-16 12:00:06,Заправка фреоном выполнена. Проверка работы.
R-20250729-9645,operator4,2025-08-01 18:17:06,Настройка параметров работы.
R-20250831-2412,specialist2,2025-09-12 00:24:06,Требуется заказ комплектующих.
R-20250831-2412,specialist10,2025-09-04 19:24:06,Тестирование всех режимов работы.
R-20250831-2412,specialist3,2025-09-08 00:24:06,Тестирование всех режимов работы.
R-20250731-9529,specialist,2025-08-06 00:48:06,Проверка герметичности системы.
R-20250731-9529,operator2,2025-08-17 07:48:06,Провел диагностику. Требуется замена детали.
R-20250731-9529,specialist9,2025-08-04 00:48:06,Выполнена профилактическая чистка.
R-20250731-9529,specialist1,2025-08-24 07:48:06,"Ремонт завершен, требуется проверка клиентом."
R-20250731-9529,specialist5,2025-08-21 02:48:06,Настройка параметров работы.
R-20250812-6810,specialist2,2025-08-14 09:49:06,Настройка параметров работы.
R-20250812-6810,specialist8,2025-08-19 15:49:06,Установлена новая плата управления.
R-20250812-6810,specialist5,2025-08-31 10:49:06,Заправка фреоном выполнена. Проверка работы.
R-20250812-6810,specialist7,2025-08-30 07:49:06,Настройка параметров работы.
R-20250812-6810,specialist5,2025-08-15 10:49:06,Заправка фреоном выполнена. Проверка работы.
R-20250916-3984,specialist5,2025-10-07 05:11:06,Заменен датчик температуры.
R-20250916-3984,operator5,2025-10-09 05:11:06,Заправка фреоном выполнена. Проверка работы.
R-20250916-3984,specialist8,2025-09-30 06:11:06,Ожидаем поставку запчастей.
R-20250916-3984,specialist10,2025-09-29 03:11:06,Провел диагностику. Требуется замена детали.
R-20250713-3926,specialist9,2025-07-17 21:00:06,Требуется заказ комплектующих.
R-20250713-3926,operator2,2025-07-16 16:00:06,Ожидаем поставку запчастей.
R-20250713-3926,specialist8,2025-07-14 19:00:06,Заправка фреоном выполнена. Проверка работы.
R-20251001-1631,specialist5,2025-10-23 16:03:06,Проверка герметичности системы.
R-20250815-8710,specialist1,2025-09-12 00:19:06,Требуется заказ комплектующих.
R-20251122-1548,specialist4,2025-11-29 11:26:06,Очистка фильтров выполнена.
R-20251122-1548,specialist2,2025-12-12 15:26:06,Проверка электрики - все в норме.
R-20251126-7617,operator5,2025-11-29 14:55:06,Установлена новая плата управления.
R-20251126-7617,specialist8,2025-12-02 15:55:06,Ожидаем поставку запчастей.
R-20251126-7617,operator,2025-12-02 13:55:06,Выполнена профилактическая чистка.
R-20251126-6698,specialist1,2025-12-03 17:15:06,Настройка параметров работы.
R-20250801-1921,specialist2,2025-08-05 15:54:06,Проверка герметичности системы.
R-20250714-6501,operator1,2025-07-26 18:47:06,Требуется заказ комплектующих.
R-20250719-0386,specialist10,2025-08-07 17:02:06,Тестирование всех режимов работы.
R-20250719-0386,specialist5,2025-08-17 01:02:06,Выполнена профилактическая чистка.
R-20250915-6342,specialist8,2025-10-13 08:49:06,Настройка параметров работы.
R-20250915-6342,specialist6,2025-09-28 01:49:06,Настройка параметров работы.
R-20250915-6342,specialist9,2025-09-20 04:49:06,Проверка электрики - все в норме.
R-20250915-6342,operator4,2025-10-03 01:49:06,Заменен датчик температуры.
R-20251205-5821,specialist1,2025-12-19 13:30:06,Тестирование всех режимов работы.
R-20251205-5821,specialist1,2025-12-06 07:30:06,Калибровка датчиков выполнена.
R-20251205-5821,specialist4,2026-01-04 10:30:06,Установлена новая плата управления.
R-20251114-3987,operator5,2025-12-02 22:21:06,Ожидаем поставку запчастей.
R-20251114-3987,specialist9,2025-11-25 16:21:06,Заправка фреоном выполнена. Проверка работы.
R-20251114-3987,specialist4,2025-11-21 21:21:06,Калибровка датчиков выполнена.
R-20251114-3987,specialist10,2025-11-18 15:21:06,Требуется заказ комплектующих.
R-20251114-3987,operator,2025-11-19 19:21:06,Проверка электрики - все в норме.
R-20251219-7206,specialist10,2025-12-27 15:43:06,Тестирование всех режимов работы.
R-20251219-7206,operator3,2026-01-11 14:43:06,Очистка фильтров выполнена.
R-20251219-7206,operator4,2026-01-14 22:43:06,Очистка фильтров выполнена.
R-20251219-7206,specialist7,2025-12-20 18:43:06,"Ремонт завершен, требуется проверка клиентом."
R-20251219-7206,specialist4,2025-12-22 22:43:06,"Ремонт завершен, требуется проверка клиентом."
R-20251014-9822,specialist8,2025-11-05 23:10:06,Выполнена профилактическая чистка.
R-20251014-9822,operator2,2025-11-11 00:10:06,Заменен датчик температуры.
R-20251123-1055,specialist10,2025-12-07 09:32:06,Требуется заказ комплектующих.
R-20251123-1055,operator,2025-12-01 11:32:06,Калибровка датчиков выполнена.
R-20250628-0391,operator5,2025-07-16 15:44:06,Проверка электрики - все в норме.
R-20250628-0391,specialist8,2025-07-15 12:44:06,Заменен компрессор.
R-20250628-0391,specialist2,2025-07-08 11:44:06,Тестирование всех режимов работы.
R-20250628-0391,specialist10,2025-07-20 13:44:06,Настройка параметров работы.
R-20250628-0391,specialist5,2025-07-24 15:44:06,Ожидаем поставку запчастей.
R-20250728-9840,specialist8,2025-08-09 05:04:06,Проверка герметичности системы.
R-20250713-1684,operator2,2025-07-22 01:14:06,Проверка электрики - все в норме.
R-20250713-1684,specialist1,2025-07-22 02:14:06,Проверка электрики - все в норме.
R-20250713-1684,operator,2025-08-04 01:14:06,Заменен компрессор.
R-20250713-1684,operator5,2025-08-02 07:14:06,Настройка параметров работы.
R-20250623-4983,specialist3,2025-07-20 12:12:06,Заправка фреоном выполнена. Проверка работы.
R-20250623-4983,operator4,2025-07-19 20:12:06,Очистка фильтров выполнена.
R-20250801-1098,operator5,2025-08-21 10:40:06,"Ремонт завершен, требуется проверка клиентом."
R-20250801-1098,specialist9,2025-08-20 09:40:06,"Ремонт завершен, требуется проверка клиентом."
R-20250801-1098,specialist8,2025-08-20 08:40:06,Заменен датчик температуры.
R-20250817-2302,specialist1,2025-08-31 20:38:06,Ожидаем поставку запчастей.
R-20250817-2302,specialist6,2025-09-08 15:38:06,Тестирование всех режимов работы.
R-20250817-2302,specialist3,2025-09-09 16:38:06,Ожидаем поставку запчастей.
R-20250817-2302,specialist4,2025-08-17 12:38:06,Заменен датчик температуры.
R-20251215-1812,specialist9,2026-01-13 04:52:06,Калибровка датчиков выполнена.
R-20250706-5847,specialist3,2025-07-09 06:10:06,Выполнена профилактическая чистка.
R-20250706-5847,operator1,2025-07-12 04:10:06,Выполнена профилактическая чистка.
R-20250706-5847,specialist6,2025-07-31 07:10:06,Калибровка датчиков выполнена.
R-20250924-9652,specialist8,2025-10-09 13:17:06,Очистка фильтров выполнена.
R-20250924-9652,operator,2025-10-11 12:17:06,Установлена новая плата управления.
R-20250924-9652,specialist1,2025-10-14 08:17:06,Заменен компрессор.
R-20250924-9652,specialist4,2025-09-24 11:17:06,"Ремонт завершен, требуется проверка клиентом."
R-20250913-2191,operator5,2025-10-06 17:04:06,Настройка параметров работы.
R-20250913-2191,specialist4,2025-09-22 14:04:06,Провел диагностику. Требуется замена детали.
R-20250623-2339,specialist6,2025-07-14 12:45:06,Проверка электрики - все в норме.
R-20250623-2339,specialist,2025-07-17 14:45:06,Установлена новая плата управления.
R-20250623-2339,specialist5,2025-07-02 14:45:06,Выполнена профилактическая чистка.
R-20250623-2339,operator2,2025-07-23 15:45:06,Установлена новая плата управления.
R-20251216-9563,specialist2,2026-01-11 15:56:06,Заправка фреоном выполнена. Проверка работы.
R-20251216-9563,specialist6,2026-01-04 08:56:06,Установлена новая плата управления.
R-20251216-9563,specialist4,2025-12-27 11:56:06,Выполнена профилактическая чистка.
R-20251216-9563,specialist7,2025-12-29 14:56:06,Провел диагностику. Требуется замена детали.
R-20250715-4552,specialist,2025-07-18 16:34:06,Заменен компрессор.
R-20250715-4552,specialist6,2025-08-14 10:34:06,Заменен компрессор.
R-20250715-4552,specialist9,2025-08-06 14:34:06,Калибровка датчиков выполнена.
R-20250715-4552,specialist1,2025-07-22 12:34:06,Проверка герметичности системы.
R-20251001-0531,specialist7,2025-10-07 09:40:06,Очистка фильтров выполнена.
R-20251001-0531,specialist10,2025-10-11 07:40:06,Калибровка датчиков выполнена.
R-20251001-0531,specialist5,2025-10-08 09:40:06,Требуется заказ комплектующих.
R-20251124-1087,specialist6,2025-12-15 17:56:06,Заправка фреоном выполнена. Проверка работы.
R-20251124-1087,operator,2025-12-23 23:56:06,Тестирование всех режимов работы.
R-20251124-1087,specialist2,2025-12-24 19:56:06,Заменен компрессор.
R-20251124-1087,specialist10,2025-12-13 17:56:06,Установлена новая плата управления.
R-20251123-8458,operator1,2025-12-23 01:35:06,Очистка фильтров выполнена.
R-20251123-8458,specialist1,2025-12-07 00:35:06,Заменен датчик температуры.
R-20251123-8458,specialist1,2025-12-17 02:35:06,Установлена новая плата управления.
R-20250624-6242,operator1,2025-07-16 07:18:06,Выполнена профилактическая чистка.
R-20250624-6242,specialist,2025-07-21 11:18:06,Заменен компрессор.
R-20250624-6242,specialist,2025-07-01 11:18:06,Калибровка датчиков выполнена.
R-20250624-6242,specialist5,2025-07-02 07:18:06,Заправка фреоном выполнена. Проверка работы.
R-20250624-6242,specialist2,2025-06-27 05:18:06,"Ремонт завершен, требуется проверка клиентом."
R-20250925-2552,specialist,2025-10-11 02:33:06,Заправка фреоном выполнена. Проверка работы.
R-20250925-2552,operator2,2025-10-19 00:33:06,Очистка фильтров выполнена.
R-20250915-6365,specialist2,2025-09-29 19:44:06,Проверка герметичности системы.
R-20250915-6365,operator4,2025-09-20 12:44:06,Тестирование всех режимов работы.
R-20250726-8518,specialist3,2025-08-13 15:38:06,Проверка электрики - все в норме.
R-20250726-8518,specialist6,2025-08-10 17:38:06,Очистка фильтров выполнена.
R-20250726-8518,specialist6,2025-08-02 19:38:06,Настройка параметров работы.
R-20251004-4720,operator4,2025-10-10 08:58:06,"Ремонт завершен, требуется проверка клиентом."
R-20251004-4720,specialist5,2025-10-14 00:58:06,Заменен датчик температуры.
R-20251004-4720,operator,2025-10-16 01:58:06,Ожидаем поставку запчастей.
R-20251004-4720,specialist10,2025-10-06 08:58:06,Проверка герметичности системы.
R-20251004-4720,specialist3,2025-10-05 05:58:06,Проверка электрики - все в норме.
R-20250701-6521,operator,2025-07-19 07:20:06,Очистка фильтров выполнена.
R-20250910-6277,operator5,2025-09-17 00:03:06,Проверка герметичности системы.
R-20250910-6277,operator1,2025-09-25 00:03:06,"Ремонт завершен, требуется проверка клиентом."
R-20250809-6811,operator5,2025-08-09 00:10:06,Ожидаем поставку запчастей.
R-20250809-6811,specialist1,2025-09-07 00:10:06,Заменен датчик температуры.
R-20250809-6811,specialist4,2025-08-31 00:10:06,Тестирование всех режимов работы.
R-20250809-6811,specialist8,2025-08-25 08:10:06,Проверка электрики - все в норме.
R-20250809-6811,specialist9,2025-09-02 01:10:06,Настройка параметров работы.
R-20250811-7754,operator2,2025-08-14 14:27:06,"Ремонт завершен, требуется проверка клиентом."
R-20250811-7754,specialist3,2025-08-14 15:27:06,Заменен датчик температуры.
R-20250623-8971,operator4,2025-07-02 11:01:06,Проверка герметичности системы.
R-20250623-8971,specialist9,2025-07-22 18:01:06,Требуется заказ комплектующих.
R-20251021-1740,operator1,2025-11-08 15:05:06,Установлена новая плата управления.
R-20250706-2088,specialist3,2025-08-05 16:20:06,Настройка параметров работы.
R-20251126-0431,specialist7,2025-12-10 01:04:06,Проверка герметичности системы.
R-20251126-0431,specialist7,2025-12-17 22:04:06,Установлена новая плата управления.
R-20251126-0431,operator3,2025-12-11 22:04:06,Настройка параметров работы.
R-20251126-0431,specialist10,2025-12-02 20:04:06,Калибровка датчиков выполнена.
R-20251126-0431,operator5,2025-12-22 02:04:06,Выполнена профилактическая чистка.
R-20251104-2225,specialist4,2025-11-15 12:23:06,Требуется заказ комплектующих.
R-20251104-2225,specialist7,2025-11-06 11:23:06,Проверка герметичности системы.
R-20251104-2225,specialist9,2025-12-02 05:23:06,Ожидаем поставку запчастей.
R-20251104-2225,specialist7,2025-12-03 11:23:06,Проверка электрики - все в норме.
R-20251015-9720,operator4,2025-10-24 07:04:06,Заправка фреоном выполнена. Проверка работы.
R-20251015-9720,specialist7,2025-10-31 14:04:06,Настройка параметров работы.
R-20251015-9720,specialist10,2025-10-19 08:04:06,Установлена новая плата управления.
R-20251015-9720,specialist1,2025-10-26 11:04:06,Тестирование всех режимов работы.
R-20251015-9720,specialist3,2025-10-17 10:04:06,Очистка фильтров выполнена.
R-20250628-8981,specialist,2025-07-16 09:59:06,Заменен датчик температуры.
R-20250628-8981,specialist3,2025-07-25 11:59:06,Заправка фреоном выполнена. Проверка работы.
R-20251203-5090,operator5,2025-12-08 01:00:06,Проверка электрики - все в норме.
R-20251203-5090,specialist4,2025-12-26 04:00:06,Заправка фреоном выполнена. Проверка работы.
R-20251203-5090,specialist1,2025-12-13 01:00:06,Установлена новая плата управления.
R-20250730-6383,specialist2,2025-08-29 12:48:06,Заменен датчик температуры.
R-20250730-6383,specialist,2025-08-11 05:48:06,Заменен компрессор.
R-20250730-6383,specialist,2025-08-03 05:48:06,Требуется заказ комплектующих.
R-20250730-6383,specialist8,2025-08-21 06:48:06,Заменен компрессор.
R-20250805-7166,specialist4,2025-08-30 18:12:06,Установлена новая плата управления.
R-20250805-7166,specialist7,2025-08-17 13:12:06,Настройка параметров работы.
R-20250827-8152,specialist,2025-09-04 18:47:06,Заменен датчик температуры.
R-20250827-8152,specialist1,2025-09-17 19:47:06,"Ремонт завершен, требуется проверка клиентом."
R-20250827-8152,specialist4,2025-08-27 16:47:06,"Ремонт завершен, требуется проверка клиентом."
R-20250827-8152,specialist8,2025-09-10 15:47:06,Заправка фреоном выполнена. Проверка работы.
R-20250827-8152,specialist1,2025-08-29 17:47:06,Калибровка датчиков выполнена.
R-20250726-6843,specialist,2025-08-03 01:46:06,Провел диагностику. Требуется замена детали.
R-20251023-6668,specialist10,2025-11-09 05:02:06,Ожидаем поставку запчастей.
R-20251023-6668,specialist,2025-11-02 06:02:06,Заменен компрессор.
R-20251023-6668,specialist6,2025-11-16 08:02:06,Заправка фреоном выполнена. Проверка работы.
R-20250807-9105,specialist6,2025-08-30 18:27:06,Провел диагностику. Требуется замена детали.
R-20250807-9105,specialist6,2025-08-23 17:27:06,Очистка фильтров выполнена.
